Image,University Name,Exam Date,Link,
https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Bangladesh_University_of_Professionals_%28BUP%29_Logo.svg/1200px-Bangladesh_University_of_Professionals_%28BUP%29_Logo.svg.png,BUP,  2024-12-14,https://admission.bup.edu.bd/Admission/AdmssionCircular,
https://upload.wikimedia.org/wikipedia/en/4/49/BSMRAU_Logo.png,BSRMAAU,         2024-12-28,http://demo.teletalk.com.bd/bsmraau/bsc/docs/circular.pdf,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png, DU (IBA),         2025-01-03,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png, DU (F Unit),      2025-01-04,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Logo_KUET.svg/1200px-Logo_KUET.svg.png,KUET,     2025-01-11,https://www.kuet.ac.bd/program/ugdegree,
https://upload.wikimedia.org/wikipedia/en/thumb/d/da/BUET_LOGO.svg/1200px-BUET_LOGO.svg.png,BUET,      2025-01-25,https://www.buet.ac.bd/web/#/ugAdmission/1,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png, DU (B Unit),      2025-01-25,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png, DU (C Unit),      2025-02-08,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png,DU (A Unit),       2025-02-15,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Logo_of_rajshahi_university.jpg/1024px-Logo_of_rajshahi_university.jpg, RU,  2025-03-25, https://www.ru.ac.bd/admission/,
